Commodity_Detail,Commodity Group,Production_Type,Sector,Sub-Sector,HS8,NAICS6,NAICS6_Code,NAICS5_Code,NAICS4_Code,NAICS3_Code,HS8_code
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01021092 Bovine, female, live, pure-bred, breeding, exc dairy (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01021092
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022100 Cattle, live, pure-bred breeding, dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022100
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022111 Cattle, live, dairy, male, pure-bred breeding (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022111
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022112 Cattle, live, dairy, female, pure-bred breeding (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022112
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022191 Cattle, male, live, pure-bred breeding, other than dairy (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022191
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022192 Cattle, female, live, pure-bred breeding, other than dairy (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022192
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022900 Cattle, live, dairy, other than pure-bred breeding (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022900
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022911 Cattle, live, other than pure-bred breeding, dairy, weighing < 90 kg (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022911
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022912 Cattle, live, other than pure-bred breeding, dairy, weighing 90 kg or more (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022912
Dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022920 Cattle, live, weighing <= 200 kg, o/t pure-bred for breeding or dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01022920
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022921 Cattle, male, live, other than pure-bred breeding, o/t dairy, weighing < 90 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022921
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022922 Cattle, female, live, other than pure-bred breeding, o/t dairy, weighing < 90 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022922
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022931 Cattle, male, live, o/t pure-bred breeding, o/t dairy,weighing >= 90 kg < 200 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022931
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022932 Cattle, female, live,o/t pure-bred breeding,o/t dairy,weighing >= 90 kg < 200 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022932
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022941 Cattle, male, live, o/t pure-bred breeding,o/t dairy,weighing >= 200 kg < 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022941
Non-dairy for breeding,Cattle & calves,Primary,Livestock,Live animals & insects,"01022942 Cattle, female,live,o/t pure-bred breeding,o/t dairy,weighing >= 200 kg < 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022942
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01022951 Steers, for immediate slaughter, wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022951
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01022952 Bulls, for immediate slaughter, wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022952
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01022953 Cows, for immediate slaughter, wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022953
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01022954 Heifers, for immediate slaughter,wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022954
Other cattle,Cattle & calves,Primary,Livestock,Live animals & insects,"01022960 Cattle, live, for breeding, weighing >= 320 kg, o/t pure-bred (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022960
Other cattle,Cattle & calves,Primary,Livestock,Live animals & insects,"01022961 Cattle, male, o/t pure-bred breeding, for breeding, wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022961
Other cattle,Cattle & calves,Primary,Livestock,Live animals & insects,"01022962 Cattle, female, o/t pure-bred breeding, for breeding, wt >= 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022962
Other cattle,Cattle & calves,Primary,Livestock,Live animals & insects,"01022991 Other cattle, male, weighing >= 320 kg, nes (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022991
Other cattle,Cattle & calves,Primary,Livestock,Live animals & insects,"01022992 Other cattle, female, weighing >= 320 kg, nes (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01022992
Buffalo,Other animals,Primary,Livestock,Live animals & insects,"01023100 Buffalo, live, pure-bred breeding (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01023100
Buffalo,Other animals,Primary,Livestock,Live animals & insects,"01023900 Buffalo, live, other than pure-bred breeding (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01023900
Bison,Other animals,Primary,Livestock,Live animals & insects,"01023910 Bison, live (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01023910
Buffalo,Other animals,Primary,Livestock,Live animals & insects,"01023990 Buffalo, live, other than pure-bred breeding, other than bison (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01023990
Other live animals,Other animals,Primary,Livestock,Live animals & insects,"01029000 Bovine, live, other than cattle and buffalo, nes (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01029000
Dairy,Cattle & calves,Primary,Livestock,Live animals & insects,"01029010 Bovine animals, live, except pure-bred breeding, dairy (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01029010
Dairy,Cattle & calves,Primary,Livestock,Live animals & insects,"01029011 Bovine, live, nes, dairy weighing less than 90 kg (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01029011
Dairy,Cattle & calves,Primary,Livestock,Live animals & insects,"01029012 Bovine, live, nes, dairy weighing 90 kg or more (Number)",112120 Dairy cattle and milk production,112120,11212,1121,112,01029012
Bison,Other animals,Primary,Livestock,Live animals & insects,"01029020 Bison, live (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029020
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029021 Bovine, live, nes, exc dairy, weighing less than 90 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029021
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029022 Bovine, live, nes, exc dairy, weighing 90 kg or more and less than 200 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029022
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029023 Bovine, live, nes, exc dairy, weighing >=200 kg but < 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029023
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029024 Bovine, live, nes, exc dairy, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029024
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029031 Bovine male, live, nes, exc dairy, weighing less than 90 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029031
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029032 Bovine female, live, nes, exc dairy, weighing less than 90 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029032
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029041 Bovine male, live, nes, exc dairy, weighing 90 kg or more but less than 200 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029041
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029042 Bovine female, live, nes, exc dairy, weighing > 90 kg but < 200 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029042
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029051 Bovine male, live, nes exc dairy weighing200 kg or more but less than 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029051
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029052 Bovine female, live, nes, exc dairy, weighing > 200 kg but < 320 kg (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029052
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029061 Steers nes, exc dairy, for immediate slaughter, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029061
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029062 Bulls nes, exc dairy, for immediate slaughter, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029062
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029063 Cows nes, exec dairy, for immediate slaughter, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029063
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029064 Heifers nes, exec dairy, for immediate slaughter, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029064
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029071 Bovine, male, nes, exc dairy, for breeding, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029071
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029072 Bovine, female, nes, exc dairy, for breeding, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029072
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029090 Bovine animals, live, except pure-bred breeding and dairy (Kilogram)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029090
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029091 Bovine, male, nes, exc dairy, weighing 320 kg or more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029091
Non-dairy for market,Cattle & calves,Primary,Livestock,Live animals & insects,"01029092 Bovine female, exc dairy, weighing 320 kgor more (Number)","112110 Beef cattle ranching and farming, including feedlots",112110,11211,1121,112,01029092
Hogs for breeding,Hogs,Primary,Livestock,Live animals & insects,"01031000 Swine, live pure-bred breeding (Number)",112210 Hog and pig farming,112210,11221,1122,112,01031000
Nursing and weaner hogs,Hogs,Primary,Livestock,Live animals & insects,"01039100 Swine, live except pure-bred breeding weighing less than 50 kg (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039100
Nursing and weaner hogs,Hogs,Primary,Livestock,Live animals & insects,"01039110 Swine, live, o/t pure-bred breeding, weighing less than 7 kg each (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039110
Nursing and weaner hogs,Hogs,Primary,Livestock,Live animals & insects,"01039120 Swine, live, o/t pure-bred breeding, weighing >= 7 kg but < 23 kg (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039120
Hogs for market,Hogs,Primary,Livestock,Live animals & insects,"01039130 Swine, live, o/t pure-bred breeding, weighing >= 23 kg but < 50 kg (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039130
Hogs for market,Hogs,Primary,Livestock,Live animals & insects,"01039200 Swine, live except pure-bred breeding weighing 50 kg or more (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039200
Hogs for market,Hogs,Primary,Livestock,Live animals & insects,"01039210 Swine, live, except pure-bred breeding, weighing 50 kg or more, for slaughter (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039210
Hogs for market,Hogs,Primary,Livestock,Live animals & insects,"01039290 Swine, live, o/t pure-bred breeding, weighing >= 50 kg, nes (Number)",112210 Hog and pig farming,112210,11221,1122,112,01039290
Sheep and lambs,Sheep & lamb,Primary,Livestock,Live animals & insects,"01041000 Sheep, live (Number)",112410 Sheep farming,112410,11241,1124,112,01041000
Sheep and lambs,Sheep & lamb,Primary,Livestock,Live animals & insects,"01041010 Sheep, live, pure-bred breeding (Number)",112410 Sheep farming,112410,11241,1124,112,01041010
Sheep and lambs,Sheep & lamb,Primary,Livestock,Live animals & insects,"01041090 Sheep, live, except pure-bred breeding (Number)",112410 Sheep farming,112410,11241,1124,112,01041090
Goats,Sheep & lamb,Primary,Livestock,Live animals & insects,"01042000 Goats, live (Number)",112420 Goat farming,112420,11242,1124,112,01042000
Goats,Sheep & lamb,Primary,Livestock,Live animals & insects,"01042010 Goats, live, pure-bred breeding (Number)",112410 Sheep farming,112410,11241,1124,112,01042010
Goats,Sheep & lamb,Primary,Livestock,Live animals & insects,"01042090 Goats, live, except pure-bred breeding (Number)",112410 Sheep farming,112410,11241,1124,112,01042090
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051100 Fowls of the species Gallus domesticus, live, weighing not more than 185 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01051100
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051110 Fowls of species Gallus domesticus, live, for breeding purposes,weighing <= 185g (Number)",112340 Poultry hatcheries,112340,11234,1123,112,01051110
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051120 Broilers,(Gallus dom), live, for domestic production,weighing not more than 185g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01051120
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051121 Fowls of species Gallus domesticus,live,broilers f dom production,wt <= 185g,w/a (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01051121
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051122 Fowls of species Gallus domesticus,live,broilers f dom production,wt <= 185g,o/a (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01051122
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051190 Fowls of the species Gallus domesticus, live, nes, weighing not more than 185 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01051190
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01051200 Turkeys, live, weighing not more than 185 g (Number)",112330 Turkey production,112330,11233,1123,112,01051200
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01051210 Turkeys,live, domestic, for breeding,weighing not more than 185g (Number)",112330 Turkey production,112330,11233,1123,112,01051210
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01051290 Turkeys live, o/t breeding,weighing not more than 185g (Number)",112330 Turkey production,112330,11233,1123,112,01051290
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051300 Ducks, domestic, live, weighing <= 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051300
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051310 Ducks, domestic, live, for breeding purposes, weighing <= 185 g (Number)",112340 Poultry hatcheries,112340,11234,1123,112,01051310
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01051390 Ducks, domestic, live, other than for breeding purposes, weighing <= 185 g, nes (Number)",112399 All other poultry production,112399,11239,1123,112,01051390
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051400 Geese, domestic, live, weighing <= 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051400
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051410 Geese, domestic, live, for breeding purposes, weighing <= 185 g (Number)",112340 Poultry hatcheries,112340,11234,1123,112,01051410
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01051490 Geese, domestic, live, other than for breeding purposes, weighing <= 185 g, nes (Number)",112399 All other poultry production,112399,11239,1123,112,01051490
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051500 Guinea fowls, domestic, live, weighing <=185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051500
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051510 Guinea fowls, domestic, live, for breeding purposes, weighing <= 185 g (Number)",112340 Poultry hatcheries,112340,11234,1123,112,01051510
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01051590 Guinea fowls, domestic, live, o/t for breeding purposes, weighing <= 185g,nes (Number)",112399 All other poultry production,112399,11239,1123,112,01051590
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051900 Ducks, geese and guinea fowls, domestic, live, weighing not more than 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051900
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01051910 Turkeys, live, weighing not more than 185 g (Number)",112330 Turkey production,112330,11233,1123,112,01051910
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051990 Poultry, live, nes, weighing not more than 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051990
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051991 Ducks, geese and turkeys live, except breeding,weighing not more than 185g (Number)",112399 All other poultry production,112399,11239,1123,112,01051991
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01051992 Guinea fowls live, except breeding, weighing not more than 185g (Number)",112399 All other poultry production,112399,11239,1123,112,01051992
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01051993 Geese, domestic, live, other than for breeding purposes, weighing <= 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01051993
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01059100 Fowls, live domestic weighing more than 185 g (Number)",112399 All other poultry production,112399,11239,1123,112,01059100
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059110 Fowls, (Gallus dom), live,for breeding purposes & started pullets, wt > 185 g (Kilogram)",112340 Poultry hatcheries,112340,11234,1123,112,01059110
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059191 Fowls, (Gallus dom), live, exc started pullets & spent fowl, wt > 185 g, w/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059191
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059192 Fowls, (Gallus dom), live, exc started pullets & spent fowl, wt >185 g, o/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059192
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059200 Fowls, live domestic weighing >185 g <= 2000 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059200
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059210 Fowls, (Gallus dom), live,for breeding & started pullets, wt > 185g <= 2000g (Kilogram)",112340 Poultry hatcheries,112340,11234,1123,112,01059210
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059291 Fowls, (Gallus dom), live, nes, wt > 185g, <= 2000g, w/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059291
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059292 Fowls, (Gallus dom), live, nes, wt >185g <= 2000g, o/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059292
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01059300 Fowls, live domestic weighing more than 2000 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059300
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059310 Fowls, (Gallus dom), live,for breeding purposes & started pullets, wt > 2000g (Kilogram)",112340 Poultry hatcheries,112340,11234,1123,112,01059310
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059391 Fowls, (Gallus dom), live, exc started pullets & spent fowl, wt > 2000g, w/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059391
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059392 Fowls, (Gallus dom), live, exc started pullets & spent fowl, wt >2000g, o/a (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059392
"Chickens, adult",Poultry,Primary,Livestock,Live animals & insects,"01059400 Fowls, Gallus domesticus species, live, weighing > 185 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059400
"Chickens, adult",Poultry,Primary,Livestock,Live animals & insects,"01059410 Fowls, Gallus domesticus, live, domestic, weighing > 185 g <= 2,000 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059410
"Chickens, adult",Poultry,Primary,Livestock,Live animals & insects,"01059420 Fowls, Gallus domesticus, live, domestic, weighing more than 2,000 g (Number)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059420
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059491 Fowls of the species Gallus domesticus, live, nes, weighing <= 2,000 g, w/a com (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059491
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059492 Fowls of the species Gallus domesticus, live, nes, weighing <= 2,000 g, o/a com (Kilogram)",112320 Broiler and other meat-type chicken production,112320,11232,1123,112,01059492
Other poultry,Poultry,Primary,Livestock,Live animals & insects,"01059900 Ducks, geese, turkeys and guinea fowl, domestic, live, weighing more than 185 g (Number)",112330 Turkey production,112330,11233,1123,112,01059900
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01059911 Turkeys, live, weighing more than 185 g, within access commitment (Kilogram)",112330 Turkey production,112330,11233,1123,112,01059911
Turkeys,Poultry,Primary,Livestock,Live animals & insects,"01059912 Turkeys, live, weighing more than 185 g, over access commitment (Kilogram)",112330 Turkey production,112330,11233,1123,112,01059912
Chicks and poults,Poultry,Primary,Livestock,Live animals & insects,"01059990 Ducks, geese, and guinea fowl, domestic, live, weighing more than 185 g (Kilogram)",112399 All other poultry production,112399,11239,1123,112,01059990
Mink,Other animals,Primary,Livestock,Live animals & insects,"01060000 Mink, live (Number)",112930 Fur-bearing animal and rabbit production,112930,11293,1129,112,01060000
Mink,Other animals,Primary,Livestock,Live animals & insects,"01060011 Mink, live (Number)",112930 Fur-bearing animal and rabbit production,112930,11293,1129,112,01060011
Other fur-bearing animals,Other animals,Primary,Livestock,Live animals & insects,"01060019 Fur-bearing animals, live other than mink (Number)",112930 Fur-bearing animal and rabbit production,112930,11293,1129,112,01060019
Bees and insects,Other animals,Primary,Livestock,Live animals & insects,"01060020 Honey bees, live (Kilogram)",112910 Apiculture,112910,11291,1129,112,01060020
Bees and insects,Other animals,Primary,Livestock,Live animals & insects,01060030 Leaf cutter bee larvae (Kilogram),112910 Apiculture,112910,11291,1129,112,01060030
Bait,Bait,Primary,Seafood & fisheries,Other fisheries product (not for human consumption),"01060040 Bait, live (N/A)",114113 Salt water fishing,114113,11411,1141,114,01060040
Other live animals,Other animals,Primary,Livestock,Live animals & insects,"01060090 Animals, live, nes (N/A)",112999 All other miscellaneous animal production,112999,11299,1129,112,01060090
Other live animals,Other animals,Primary,Livestock,Live animals & insects,"01061100 Primates, live (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01061100
Marine mammals,Marine mammals,Primary,Seafood & fisheries,Other fisheries product (not for human consumption),"01061200 Whales, dolphins, porpoises, manatees, dugongs,seals,sea lions and walruses,live (Number)",114113 Salt water fishing,114113,11411,1141,114,01061200
Other live animals,Other animals,Primary,Livestock,Live animals & insects,"01061300 Camels and other camelids, live (Number)",112999 All other miscellaneous animal production,112999,11299,1129,112,01061300
Other live animals,Other animals,Primary,Livestock,Live animals & insects,"01061400 Rabbits and hares, live (Number)",112930 Fur-bearing animal and rabbit production,112930,11293,1129,112,01061400
